000000007FFF 000000007FFF
000000008000 000000007FFF
FFFFFFFF8000 FFFFFFFF8000
FFFFFFFF7FFF FFFFFFFF8000
000000005D9A 000000005D9A
0000000075D1 0000000075D1
000000003190 000000003190
000000000394 000000000394
00000000E16E 000000007FFF
00000000DCF1 000000007FFF
00000000474E 00000000474E
000000002459 000000002459
000000003023 000000003023
0000000083FA 000000007FFF
000000002C14 000000002C14
00000000C867 000000007FFF
000000001937 000000001937
00000000916D 000000007FFF
00000000940D 000000007FFF
00000000C304 000000007FFF
0000000032B0 0000000032B0
00000000901C 000000007FFF
0000000010A5 0000000010A5
00000000DA5C 000000007FFF
00000000A071 000000007FFF
000000007851 000000007851
000000009454 000000007FFF
00000000ABD0 000000007FFF
00000000F99C 000000007FFF
000000004ECD 000000004ECD
00000000BA96 000000007FFF
000000005FA8 000000005FA8
0000000006AB 0000000006AB
00000000DED0 000000007FFF
000000008B00 000000007FFF
000000005409 000000005409
00000000D305 000000007FFF
00000000794D 00000000794D
00000000340F 00000000340F
000000001814 000000001814
00000000D6DB 000000007FFF
00000000DB9B 000000007FFF
000000002F39 000000002F39
000000000FDD 000000000FDD
000000002696 000000002696
00000000AAE1 000000007FFF
000000006BEF 000000006BEF
0000000054C8 0000000054C8
000000006D9A 000000006D9A
000000004F25 000000004F25
00000000D81E 000000007FFF
000000008715 000000007FFF
000000008CA2 000000007FFF
00000000B8B6 000000007FFF
00000000166E 00000000166E
000000005A29 000000005A29
0000000046A6 0000000046A6
000000007481 000000007481
000000008678 000000007FFF
000000004AC4 000000004AC4
000000000345 000000000345
0000000014BF 0000000014BF
00000000E30B 000000007FFF
000000002C5C 000000002C5C
000000005E15 000000005E15
00000000483C 00000000483C
000000004A09 000000004A09
0000000017FF 0000000017FF
000000003CFF 000000003CFF
0000000017A8 0000000017A8
000000000CC0 000000000CC0
00000000BA57 000000007FFF
0000000048AD 0000000048AD
00000000C02E 000000007FFF
000000002FD9 000000002FD9
000000004BA7 000000004BA7
00000000F5C9 000000007FFF
000000004800 000000004800
00000000D675 000000007FFF
000000009B63 000000007FFF
0000000088B3 000000007FFF
000000006F6C 000000006F6C
00000000B26B 000000007FFF
00000000B9B9 000000007FFF
0000000098E6 000000007FFF
000000007C4D 000000007C4D
0000000002EA 0000000002EA
