00000000 00000000 00000000
00007FFF 001FFFFF 01FFFBF0
FFFF8000 FFE00000 02000000
FFFFA265 001D7476 FEA75B73
FFFF9E91 FFE8C394 011AFF03
00003023 FFFF014F FFFA037F
FFFFE6C8 00045B7D FFF24398
000032B0 00040710 001984BF
00002071 FFE1EB8B FF86054B
FFFF8663 FFEC4CB1 012B7AA9
FFFFF954 FFE84BC1 0013C4D2
FFFFACFA FFE1ACA9 013AB765
000056DB 0016E6FA 00F8A5F2
FFFFD969 FFF5479A 0033B63D
FFFF9265 0013C94C FEF0E9F8
FFFFF35D 000E2DBC FFE99A82
FFFFB959 001D2042 FEFEC5BD
FFFFFCBA FFFAD01A 00021F59
00005E15 00120F13 00D46086
FFFFC300 0005EA22 FFD2E6BC
000048AD 00100B88 0091C2C1
000075C9 FFEDFFF9 FEF6FB58
000008B3 001BDB3C 001E4A85
FFFFE719 FFE0ECA8 0060BB56
FFFFFA20 001664C3 FFEF8E00
000065AC 0001A455 0014DDFE
0000615B FFF78F5A FF994A21
FFFFAD33 FFEDCBF2 00BC6805
00005DFA 00106E9C 00C10756
00006176 0015CDCF 0109A109
FFFFB550 001F4BCE FEDBD24A
FFFFDD71 000D2612 FFC7332A
FFFFE1DF FFE74956 005D12EE
FFFFD4A7 FFF4D625 003C7D2A
FFFFA0C5 FFFDD300 0019E66B
00007303 00070275 0064C5F2
00007C79 FFFBC7BA FFBE57EF
FFFF8DB1 FFF0F23B 00D718DF
00000B46 FFED5CA3 FFE5BC4A
00005156 FFEE0CAC FF497F55
00001725 FFE56BD8 FFB31B1F
00006FA6 0017AA93 014A49CB
00007E54 FFE15DF0 FE1C45DE
FFFFD882 000BCE09 FFC5B9A7
000073A3 FFE16700 FE45B932
FFFF96B6 FFF62D3B 00814937
FFFFFADB 001EEEDD FFEC1BA5
FFFFB159 FFF17D81 008EA73A
000030D0 FFE9A0BB FF777EB4
0000378E 001B41CC 00BD482A
00001D29 FFE700B6 FFA4E277
00001FF1 00011241 00044701
000048AF 0010C076 00983298
FFFF9E0D FFEC4500 00F192B0
FFFFF7BE 00041F7A FFFBBE82
FFFFA6BE 0008E827 FF9C9FD2
FFFFA006 000BF806 FF7068B2
00003072 00123B9E 006E6985
0000538F FFF87BCD FFB17E13
00007155 FFE5F0C7 FE8ED419
FFFFC76C 001EC21D FF26782D
00002FC3 000DE1C3 0052E0B8
FFFFD9C7 00042EF7 FFEC031C
000051F1 0002ED8B 001DFD53
FFFF9712 FFE5AD87 01593F3A
00001D20 000C0FE4 002BE9DA
FFFFBB37 FFFDAE4C 0013F0BE
FFFF9FB9 FFF23227 00A620AE
FFFF82C0 0008039C FF82877D
FFFF8529 0016BA9C FEA2FF5D
000003F7 FFF9DB01 FFFCF46A
00004335 000FA86F 00838A5D
000020AE 0009A484 002763CA
00003139 FFE14B77 FF431372
00006985 0003EA4E 0033A457
FFFF8B5F 0018425A FE9E55AF
00005B35 FFE12EE4 FEA0A938
00001812 FFF9CE2F FFED5C9C
000073D2 0006193D 00584AE3
00005E4C 0013DF4D 00EA3C92
FFFFA9C3 0004C7A7 FFCC794A
0000132D 000FA330 00257B87
FFFF8F20 001B7D29 FE7C2611
00000C78 FFF596D3 FFEFC612
FFFF8B38 0010B362 FF0C356E
FFFFEF00 001C6E30 FFC395DA
FFFF8CC1 FFF2B1A7 00BFAF08
00005FA9 FFFCEA21 FFDB1B19
00005D04 FFF9957F FFB566AF
FFFFCB04 FFFA11C7 00274742
00004F9E FFF0E814 FF69C9AD
00001CA3 FFF1C5E4 FFCD12BE
FFFFA7EF 000723CD FFB16704
00004780 00099048 00557983
FFFFE09C 001381BB FFB37575
FFFFBAE3 FFEEE204 0093E0AA
000029B6 FFFB51D1 FFE798D4
FFFFD417 001EC108 FF5732BE
00000CE1 FFEE2483 FFE34087
FFFFBAFE 00094DEC FFAFBD99
FFFFCB16 FFF1C5DF 005E19FA
FFFFE66E FFE53523 0055A2E8
FFFFD456 00108C3E FFA5AE8E
FFFFC832 001608D9 FF664BC8
00006AA6 000BCB92 009D3E0E
00002757 0003A7C7 0011F9AA
FFFFACA1 00184F94 FF02A5AF
000056BA FFF0EDCB FF5C9DDE
00002001 0014F02D 0053C352
00006149 001F30C7 017B4C09
00005D7D FFF4905F FF7A5BA0
FFFFFBBE 00085493 FFFB90FC
FFFF8317 FFE1A39F 01DA0C22
00001EFC 0007FA62 001EE63E
FFFFB988 FFE50EDB 00ED5224
00006298 FFE6985E FEC6E7CE
FFFFBFAC FFFF68AB 0004C0DC
FFFFDABC 001C942B FF7ADFCD
FFFFF784 0019ECE6 FFE48142
FFFF8D66 0017321A FEB3B789
FFFFE899 FFE81BF5 0045E337
FFFFB772 FFE7391B 00E0B5D7
FFFFEDBD FFE2E866 004268C0
00005DB5 00048687 00350245
FFFFC3E2 FFECE423 008F98A1
FFFFBA54 0012D300 FF5C0F67
00007E23 FFF64081 FF664D49
FFFFB6C4 FFEB408D 00BDEE95
FFFF82F8 FFEBCB77 013BC911
00005D2D 00109738 00C13B3D
FFFFDA44 00144CF8 FFA03EF4
FFFF9D58 FFEEFA2F 00D1ECBA
0000328B FFF64DDE FFC2BE34
00006A0D 0011ECF2 00EDA0A7
00005C57 FFED66B3 FF2952C7
00003C0F 0006124C 002D949C
00007F2F 00044AEF 00443ECA
FFFFD145 FFF991D2 00258FD7
FFFF81A4 FFEDCB34 011F90EC
00000D62 FFEB1FC0 FFDD13DC
FFFFF8AC 001F89A0 FFE31C6E
FFFF93D0 000D3EA1 FF4CE30A
FFFFE232 0015FB87 FFAE1A29
FFFFFD75 FFEB1109 0006A775
FFFFEE42 001F3FE7 FFBAB207
FFFFFAD3 FFEAA81C 000DCEFC
