000001FFFC00 000000007FFF
000001FFFFC0 000000008000
FFFFFE000040 FFFFFFFF8000
0000004001C0 000000001000
000000400200 000000001000
000000400240 000000001001
0000004005C0 000000001001
000000400600 000000001002
000000400640 000000001002
FFFFFFBFFE40 FFFFFFFFF000
FFFFFFBFFE00 FFFFFFFFF000
FFFFFFBFFDC0 FFFFFFFFEFFF
FFFFFFBFFA40 FFFFFFFFEFFF
FFFFFFBFFA00 FFFFFFFFEFFE
FFFFFFBFF9C0 FFFFFFFFEFFE
000001766A8A 000000005D9B 205837469483008 205840602628096
000001D74763 0000000075D2 259088290152448 259089607163904
000000C64048 000000003190 108989694083072 108989090103296
0000000E503B 000000000394 7868879208448 7868380086272
00000185B89A 00000000616E 214251440439296 214250148593664
00000173C6B8 000000005CF2 204386156412928 204388903682048
0000011D3B1B 00000000474F 156807334985728 156809255976960
00000091658D 000000002459 79932671655936 79929341378560
000000C08CA0 000000003023 105855110348800 105853763977216
0000000FEB02 0000000003FB 8751016837120 8753143349248
000000B050DF 000000002C14 96930696790016 96928821936128
000001219F7E 000000004868 159221937078272 159223027597312
00000064DE49 000000001938 55452939321344 55456617725952
00000045B7D8 00000000116E 38327956799488 38328288149504
0000005036F0 00000000140E 44098442493952 44100724195328
0000010C119B 000000004304 147372369772544 147368917860352
000000CAC24B 0000000032B1 111467919572992 111471581200384
000000407100 00000000101C 35427041935360 35424890257408
0000004294DE 0000000010A5 36603577761792 36601711296512
0000016970C5 000000005A5C 198704023732224 198702366982144
00000081C61B 000000002072 71343932440576 71347996721152
000001E14742 000000007852 264585575661568 264587165302784
000000515161 000000001454 44704984989696 44702019616768
000000AF4281 000000002BD1 96350083481600 96353296318464
000001E672A2 00000000799D 267427497639936 267430433652736
0000013B34E3 000000004ECD 173286658932736 173284750524416
000000EA5846 000000003A96 128832426213376 128831839010816
0000017EA085 000000005FA8 210351433973760 210350318288896
0000001AAF4E 0000000006AC 14670115110912 14671608283136
0000017B43E4 000000005ED1 208503251664896 208503482351616
0000002C0029 000000000B00 24189599744000 24189255811072
00000150254C 000000005409 184798047895552 184795262877696
0000014C1685 000000005306 182567290535936 182570469818368
000001E5356F 00000000794D 266746321698816 266743238885376
000000D03DC3 00000000340F 114481841569792 114478058307584
0000006051DA 000000001814 52952333025280 52948356825088
0000015B6FC8 0000000056DC 191005320019968 191005785587712
0000016E6FA1 000000005B9C 201450349133824 201451146051584
000000BCE508 000000002F39 103845938069504 103843719282688
0000003F77D4 000000000FDE 34891949408256 34892314312704
0000009A5BFB 000000002697 84859926085632 84859963834368
000000AB865F 000000002AE2 94296808095744 94300301950976
000001AFBE33 000000006BF0 237353205497856 237357072646144
00000153219A 0000000054C8 186439379714048 186435940384768
000001B66BC1 000000006D9B 241024450428928 241024974716928
0000013C94C4 000000004F25 174042308935680 174040664768512
000001607BD6 00000000581F 193779982139392 193780334460928
0000001C56C3 000000000716 15579486355456 15582141349888
000000328BE0 000000000CA3 27788174163968 27788438405120
000000E2DBC5 0000000038B7 124716769607680 124717260341248
00000059BB2E 00000000166F 49330232754176 49331994361856
