27257 17167
38884 33117
11168 18715
63396 62860
59908 5981
65047 53246
45935 22783
23018 43999
63133 45209
3103 59779
13792 7815
17459 31215
40032 20676
58884 54708
36228 14483
33067 41996
30331 11745
58705 732
32768 31804
58205 51666
19276 18034
34172 32818
40923 29820
64514 6564
7701 21717
47510 3650
1544 63299
24883 8550
56965 11634
61136 889
25359 53761
35617 42946
26791 53151
2038 26437
58610 9851
16196 29847
57168 28884
24442 63255
12399 22787
19175 26273
59296 3979
1996 50602
29826 10205
26295 15767
57245 41262
50070 42111
28350 65354
8782 35858
37051 30407
37091 65357
35779 32170
30229 64572
52919 8020
55150 3554
4821 55294
36258 48561
41912 23915
15294 63641
61775 19914
50210 57440
32278 9810
18787 6122
50077 20931
5973 46150
36060 14671
64002 4509
26278 19393
1990 48717
65534 53549
42091 31315
12784 60813
8512 1880
46310 29108
56343 63462
9676 2246
28574 35408
50501 23797
15725 36778
61415 20855
44669 51066
47725 45559
16906 26874
23848 15330
8970 401
60061 43450
6795 59129
11375 28123
48937 7509
64410 10783
2601 57615
20655 57131
31239 53876
2734 7254
7251 11625
42823 40117
19359 40338
63760 62459
34874 32768
16040 37259
55732 24415
42001 28845
4351 13240
2971 11781
33273 9128
3293 2473
53007 35334
7745 10326
5840 23205
58857 36014
32246 23760
25684 58774
42556 59371
62052 2849
44898 64884
23276 50071
55422 6941
16780 44242
33894 1966
32785 84
63261 36385
62400 25871
24349 0
39589 23251
20383 24130
25879 31942
62263 58359
23728 22398
51535 33291
3918 36757
15350 22522
33484 51389
27568 26847
31191 63198
44951 54302
14782 58181
47322 33034
24645 25023
57564 52402
43144 59735
920 34248
9843 27640
63759 50807
9253 60077
15619 7748
24999 31142
3806 40622
22401 5843
39427 72
62931 31625
21800 59829
20572 24205
61333 32553
51310 8255
37518 56713
41705 29370
64622 49409
50881 14809
57525 49227
45187 42284
719 34645
43948 15964
53855 8879
30539 19234
64816 19848
34635 32193
27335 31555
14946 28234
1314 27609
48201 20041
18656 39531
47339 62248
46852 33707
52496 55602
22795 55345
52959 25261
24025 8339
23357 11398
52187 63432
13378 55712
60664 16233
52179 64955
33945 32943
3517 34929
26462 7105
48099 8107
40119 28198
11803 64312
2296 47828
55513 33656
14483 47964
37626 17608
18499 21905
35904 49166
32416 47715
35219 3252
45720 10498
49444 43346
2427 13420
504 49676
30901 10688
44585 4695
14589 37234
35854 11168
23047 2921
36578 64818
29490 49365
12104 59538
13823 62494
43921 28561
41249 35577
39513 26592
64038 30885
27599 20712
31905 61422
20771 17034
27638 54023
6614 52900
50936 5727
61167 58014
54686 52191
42865 16911
9934 44341
63424 51276
47650 54861
34345 19384
12333 5020
62480 28442
61689 21114
56587 7120
54883 27840
39856 26007
25438 12716
33940 53986
41141 64431
55461 49849
54365 50110
34012 53198
29477 8564
6538 29982
60949 9136
53848 16262
22935 53330
42077 20159
39091 61158
586 58940
15317 28945
22519 18510
53917 43646
28254 32353
45614 40029
31503 52288
61341 54116
41445 7529
27984 13694
60680 23037
58525 15669
57336 15625
36577 32784
47649 26677
21935 50377
25680 58399
6958 30245
0 4630
25291 32965
15866 39717
11375 60871
58126 53659
21754 43967
58283 54255
4684 17892
41881 20262
31311 64090
40934 27171
19905 38504
43101 63650
53227 14943
1022 62727
83 46014
30756 42866
56945 49134
52522 10623
38570 46007
26972 18902
59489 45825
44490 17375
50193 4464
9973 3233
16259 58399
11790 46527
30753 57163
64177 1883
64053 23712
19477 5158
42404 61053
23390 50538
27517 27295
48865 64018
4111 4328
45614 34918
27297 3781
20612 11640
19487 6282
14628 61372
54837 47934
32399 25539
8062 24684
38687 59772
4141 50540
51613 52782
32045 3298
26000 38711
46259 51280
21208 8228
23898 56764
4815 61053
7482 41624
4966 26081
4908 1571
3712 37899
62516 11394
56124 9348
49833 28212
2837 46932
25487 47268
28601 22675
6869 30117
9001 22545
35101 52595
25608 1972
7807 43142
53521 36705
61590 39458
2976 48263
5507 43869
45263 36253
31951 54470
59448 32669
30937 60697
43701 5567
52575 14830
10596 35771
54843 43160
11833 58763
157 15007
49049 44911
16434 217
41853 20134
40771 15451
1421 40810
45108 61467
59574 52389
29182 27761
46819 10925
49603 17089
53940 6134
29132 55472
22404 54735
63284 62813
14292 14269
55076 5369
49188 54884
58273 44697
31388 64426
60396 9341
30131 11963
48098 35452
61398 17424
1116 26028
38479 15584
32766 12225
34392 1157
2510 62445
64870 7423
47002 32424
32325 14047
15651 57515
24779 10582
21000 43310
16773 47513
38064 54177
5028 4056
53030 44385
9491 50899
3323 5071
56455 46972
44992 63553
44029 52618
16111 36759
37822 28739
26766 38234
41390 27396
1 3412
42461 60867
57463 39155
29024 49363
62578 9063
2210 58577
27870 33472
24269 26286
15853 21564
34995 50987
14279 22916
41482 10255
1472 13619
20076 15854
62286 29918
26068 13005
3553 11949
36578 49091
18572 34483
13707 8855
38401 21854
44978 18303
11833 55197
31811 19758
5121 2447
46565 15824
54170 59562
36074 31398
42214 65231
3959 5141
19808 23184
3942 14128
28808 25535
60313 691
37322 11326
15012 23904
51473 6587
32621 47516
64710 55856
41553 60494
38201 65534
65241 14004
52879 51387
7007 43509
4433 1512
50467 44114
8519 56390
0 40479
3616 52634
13115 37103
33543 52821
40538 27502
29860 10487
46453 43384
19326 29575
56133 28600
28114 10373
48719 19969
59172 32766
17797 37923
61184 62239
7538 56547
62113 2
47197 14149
47095 38221
37099 58330
52694 12223
9801 1082
12948 44064
23532 46219
5437 56035
12677 13627
40420 47485
19146 32056
21807 3296
36356 39216
10204 54054
31413 29447
21084 56890
17925 20674
50324 21438
43561 61862
43790 48301
19914 13934
33601 42660
46697 31299
25071 24829
51141 35322
55680 29937
46924 57722
41930 34257
12560 16138
42467 44657
2313 9825
63121 51893
55838 10290
61571 20622
20757 28742
53897 49518
17025 4712
59749 46809
10065 9005
30470 14429
8934 58546
6006 41148
41057 13264
14915 4565
11985 48680
34700 27230
51495 36752
4759 41762
4550 49760
57152 57850
8721 36531
48317 18912
15030 59400
3104 51858
22232 18569
43520 35639
57866 63028
20540 47280
4491 59132
3215 49519
46212 26535
60543 1352
39056 37282
37942 56593
38941 45002
18699 36114
18233 48892
11099 25792
24698 33760
57980 55048
36370 33845
64753 62859
40569 36113
25953 24483
6919 21664
56834 17732
54631 2456
64141 4248
6704 5921
62722 37383
47451 25270
24249 32765
35456 58747
19465 50466
55419 40036
49720 57876
