
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
12 12 12 12 12 12 12 12 12 12 
70 70 70 70 70 70 70 70 70 70 
121 121 121 121 121 121 121 121 121 121 
1 1 1 1 1 1 1 1 1 1 
-161 -161 -161 -161 -161 -161 -161 -161 -161 -161 
41 41 41 41 41 41 41 41 41 41 
290 290 290 290 290 290 290 290 290 290 
-183 -183 -183 -183 -183 -183 -183 -183 -183 -183 
-560 -560 -560 -560 -560 -560 -560 -560 -560 -560 
780 780 780 780 780 780 780 780 780 780 
2729 2729 2729 2729 2729 2729 2729 2729 2729 2729 
2498 2498 2498 2498 2498 2498 2498 2498 2498 2498 
438 438 438 438 438 438 438 438 438 438 
-591 -591 -591 -591 -591 -591 -591 -591 -591 -591 
-61 -61 -61 -61 -61 -61 -61 -61 -61 -61 
287 287 287 287 287 287 287 287 287 287 
-19 -19 -19 -19 -19 -19 -19 -19 -19 -19 
-151 -151 -151 -151 -151 -151 -151 -151 -151 -151 
34 34 34 34 34 34 34 34 34 34 
121 121 121 121 121 121 121 121 121 121 
57 57 57 57 57 57 57 57 57 57 
7 7 7 7 7 7 7 7 7 7 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 -1 0 1 0 0 -1 1 0 
0 0 13 -4 -12 5 7 12 -9 -5 
36 10 165 -32 -199 59 57 204 -101 -18 
109 71 404 -61 -764 145 121 799 -331 54 
-37 227 -54 -9 -1213 -19 34 1326 -378 235 
-442 398 -1227 80 -637 -441 -151 836 155 27 
-242 453 -424 -5 56 -153 -19 170 505 -697 
608 498 2567 -147 -1005 924 287 1254 -389 -403 
77 732 958 61 -1801 345 -61 2168 -794 1199 
-1544 877 -5290 295 852 -1904 -591 -414 1290 680 
-156 604 -943 -300 1634 -339 438 -1332 1477 -2132 
3424 789 14607 -1315 -8293 5257 2498 8688 -5168 -620 
1921 3017 11773 -1315 -24367 4237 2729 25875 -11489 5458 
-4659 7417 -15910 -301 -32187 -5727 780 32767 -7428 5251 
-6900 12396 -23139 294 -28779 -8328 -560 32767 797 -4103 
-2758 16748 9578 60 -24022 3447 -183 32395 1325 -10299 
