
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
12 12 12 12 12 12 12 12 12 12 
-69 -94 -69 -94 -69 -94 -69 -94 -69 -94 
-192 -173 -192 -173 -192 -173 -192 -173 -192 -173 
200 245 200 245 200 245 200 245 200 245 
-42 -162 -42 -162 -42 -162 -42 -162 -42 -162 
-485 -346 -485 -346 -485 -346 -485 -346 -485 -346 
1872 2212 1872 2212 1872 2212 1872 2212 1872 2212 
2746 2509 2746 2509 2746 2509 2746 2509 2746 2509 
110 -146 110 -146 110 -146 110 -146 110 -146 
-400 -285 -400 -285 -400 -285 -400 -285 -400 -285 
282 274 282 274 282 274 282 274 282 274 
-98 -141 -98 -141 -98 -141 -98 -141 -98 -141 
-145 -119 -145 -119 -145 -119 -145 -119 -145 -119 
5 10 5 10 5 10 5 10 5 10 
3 2 3 2 3 2 3 2 3 2 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
8 7 4 45 1 -5 25 2 12 61 
5 66 10 -278 -18 54 -134 -18 -94 -178 
-291 -456 -135 -707 -32 81 -421 -12 -173 -1558 
-74 -899 -459 1912 45 -131 726 411 245 -1156 
562 933 -507 -253 -28 113 -380 -171 -162 -90 
-782 -699 -788 -4908 -64 132 -2848 -1353 -346 -3815 
595 -2165 -1144 12151 398 -1186 5503 2611 2212 4037 
5164 10039 1674 8027 451 -1186 4850 -161 2509 26365 
2226 14531 7911 -25026 -31 131 -8557 -10598 -146 32767 
-2478 2326 14023 3213 -53 113 8618 6245 -285 30493 
-1908 2047 19226 25222 49 -132 22224 14028 274 31559 
-3429 6839 23965 -22602 -26 81 682 -19120 -141 31960 
-2070 3683 27642 -9274 -21 54 9184 -4880 -119 30581 
275 4092 30078 30283 2 -5 30181 26826 10 30341 
-3015 724 31354 -13670 0 0 8842 -13308 2 30402 
403 -6370 31430 -19859 0 0 5786 -18877 0 30402 
2317 -1132 30298 28868 0 0 29583 25306 0 30341 
-6636 5120 28002 -2237 -1 0 12882 1098 0 30581 
-5622 3508 24629 -27157 -1 0 -1264 -21586 0 31960 
2997 -756 20310 23021 -1 0 21665 10617 0 31559 
3513 -5615 15211 9536 -1 0 12374 9634 0 30493 
1374 -350 9527 -30321 0 0 -10397 -8994 0 32767 
-5747 6885 3477 13669 0 0 8573 -4298 0 26365 
-9746 -838 -2707 19858 0 0 8575 3256 0 4037 
